text,label
Bring me a glass of water.,1
Don’t ever touch my phone.,1
Give me a pen and a pencil.,1
Play with intensity and courage.,1
Remember me when we are parted.,1
Never forget the person who loves you.,1
Take a step and don’t move.,1
Don’t be excited about everything without reason.,1
Don’t rush or you will fall.,1
Read a lot to improve your writing skill.,1
Write whenever you get a chance.,1
Don’t stay out at night.,1
Please open the door quickly.,1
Have a cup of cappuccino.,1
You wash your hand first and then eat.,1
Kindly bring the book to me.,1
Please forgive my meticulousness but you have spelled it wrong.,1
Don’t ever call me a loser.,1
Watch your step before taking it.,1
Please grant me a loan.,1
Pass the salt.,1
Move out of my way!,1
Shut the front door.,1
Find my leather jacket.,1
Be there at five.,1
Clean your room.,1
Complete these by tomorrow.,1
Consider the red dress.,1
Wait for me.,1
Get out!,1
Make sure you pack warm clothes.,1
"Choose Eamonn, not Seamus.",1
Please be quiet.,1
Be nice to your friends.,1
Play ball!,1
Go to the store and buy some milk.,1
Put your shoes away.,1
"Jessica, you need to eat your vegetables.",1
Please join me for dinner.,1
Come with us to the movies later.,1
"When cooking dinner, you must preheat the oven.",1
Get over it!,1
"If the teacher tells you to turn something in, you need to turn it in!",1
Take your dirty clothes to the laundry room.,1
Choose your friends wisely.,1
"As you go upstairs to bed, take these books and put them back on your bookshelf.",1
Get into the car so that we can leave for vacation.,1
Wear the red shoes with that dress instead of the black ones.,1
Stay in line and remain quiet as we walk down the hallway.,1
Wash your hands and brush your teeth before bed.,1
Make sure that you put all of your homework into your backpack tonight.,1
Stop biting your fingernails.,1
Spend your time reading instead of playing on your phone.,1
Please join the class after you take the book back to the library.,1
Take this note to the office and give it to Mrs. Smith.,1
Simon says to hop on one foot.,1
Honk if you like my driving.,1
"Don’t worry, be happy.",1
Have a Coke and a smile.,1
Just do it.,1
Honor thy father and mother.,1
Do not kill.,1
Do not bear false witness against thy neighbor.,1
Don't eat my strawberries.,1
Don't wait for my answer.,1
Don't text me.,1
"Walk softly, please.",1
Talk quietly.,1
Clean your room.,1
Turn off the television.,1
Hang up your clothes.,1
Pour me a glass of water.,1
Let us have a walk.,1
Work hard.,1
March forward.,1
Kindly help me.,1
Stop talking.,1
Leave the package at the door.,1
Take me to the library.,1
Walk through this door and turn left at the next hallway.,1
"Come over here, look at this specimen, and tell me what you think.",1
Put that down now!,1
"Tell the truth, the whole truth and nothing but the truth.",1
Please pass the salt.,1
Get out of my way!,1
You take these bags and you park the car.,1
You wait here and I'll call the police.,1
"Let's get started, shall we? Be careful, will you?",1
Please find my red leotard.,1
"Bill, shut the door!",1
"Grandpa, be there at 5:00",1
Enjoy some fresh strawberries.,1
Cut out the cookies with a cookie cutter and put them on a baking sheet.,1
Put them in the oven for about 10 minutes.,1
Take the cookies out when they are golden.,1
"Let them cool, and then eat them with milk.",1
Would you mind opening the window?,1
Give me a few weeks to make up my mind.,1
Feel free to text me later.,1
Give me liberty or give me death!,1
Clear this desk by tomorrow!,1
Please tidy your room.,1
Drive to the roundabout and then turn left.,1
Bring me a suitcase from UAE.,1
Fetch a glass of water.,1
Please pass the salt.,1
Get out of my way!,1
Shut the door!,1
Save our souls.,1
Call me after 10 am.,1
Have a safe trip!,1
I ate dinner.,0
We had a three-course meal.,0
Brad came to dinner with us.,0
He loves fish tacos.,0
"In the end, we all felt like we ate too much.",0
We all agreed; it was a magnificent evening.,0
"I hope that, when I've built up my savings, I'll be able to travel to Mexico.",0
"Did you know that, along with gorgeous architecture, it's home to the largest tamale?",0
"Oh, how I'd love to go!",0
"Of all the places to travel, Mexico is at the top of my list.",0
Would you like to travel with me?,0
Isn't language learning fun?,0
There is so much to understand.,0
I love learning!,0
Sentences come in many shapes and sizes.,0
Nothing beats a complete sentence.,0
"Once you know all the elements, it's not difficult to pull together a sentence.",0
When I was little I had a car door slammed shut on my hand. I still remember it quite vividly.,0
"They got there early, and they got really good seats.",0
"Wednesday is hump day, but has anyone asked the camel if he’s happy about it?",0
She was too short to see over the fence.,0
"Italy is my favorite country; in fact, I plan to spend two weeks there next year.",0
Let me help you with your baggage.,0
A glittering gem is not enough.,0
"Yeah, I think it's a good environment for learning English.",0
"Everyone was busy, so I went to the movie alone.",0
How was the math test?,0
We have a lot of rain in June.,0
I was very proud of my nickname throughout high school but today- I couldn’t be any different to what my nickname was.,0
What was the person thinking when they discovered cow’s milk was fine for human consumption… and why did they do it in the first place!?,0
She always speaks to him in a loud voice.,0
"We have never been to Asia, nor have we visited Africa.",0
Joe made the sugar cookies; Susan decorated them.,0
I currently have 4 windows open up… and I don’t know why.,0
"I am counting my calories, yet I really want dessert.",0
